Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month),Status
,,csx,,,,,,132.85,15.60,4.19,4.21,27.87,40.90,8.43,51720000000.0,14.97,51720000000.0,66160000000.0,14.30,1.69,5.36,10.35,5.36,6170000000.0,51720000000.0,,4.15,0.80,1.30,1730000000.0,2.17,16329999999.999998,1.55,15.38,4900000000.0,51720000000.0,0.22,78.69,,1.73,1.44,11220000.0,
,,ctas,,,,,,94.91,32.60,3.74,8.96,12.84,16.66,9.97,25750000000.0,64.97,25750000000.0,29060000000.0,27.62,2.67,4.22,19.27,4.22,3130000000.0,25750000000.0,,7.99,21.50,7.40,96640000.0,0.94,2850000000.0,1.98,29.07,1070000000.0000001,25750000000.0,15.47,68.84,,4.92,3.46,3070000.0,
,,ctl,,,,,,268.35,7.93,0.52,0.87,34.77,18.78,3.86,11940000000.0,21.36,11940000000.0,48650000000.0,7.93,0.76,2.13,5.28,2.13,13460000000.0,11940000000.0,,7.43,27.10,5.50,0.38,0.38,36740000000.0,0.60,12.56,6670000000.0,11940000000.0,0.78,75.20,,10.08,9.46,105340000.0,
,,ctsh,,,,,,15.67,16.91,2.05,3.20,12.61,16.29,11.05,33750000000.0,28.70,33750000000.0,32750000000.0,14.15,2.43,1.99,10.26,1.99,6290000000.0,33750000000.0,,3.61,11.60,3.40,5.44,5.44,1650000000.0,2.55,19.12,2410000000.0,33750000000.0,0.23,92.71,,2.69,1.47,10260000.0,
,,ctxs,,,,,,194.68,24.69,4.01,23.60,17.60,20.57,8.30,12020000000.0,22.59,12020000000.0,12380000000.0,15.18,2.16,4.12,15.82,4.12,2590000000.0,12020000000.0,,3.72,12.50,0.90,563150000.0,4.3,989040000.0,0.76,3.89,937220000.0,12020000000.0,0.97,103.18,,5.8,10.53,13900000.0,
,,cvc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,
,,cvs,,,,,,149.23,15.99,0.34,1.24,1.91,4.96,3.98,75910000000.0,190.76,75910000000.0,160070000000.0,8.12,2.33,0.71,10.79,0.71,30880000000.0,75910000000.0,,3.65,8529999999.999999,35.20,8529999999.999999,6.55,91920000000.0,0.95,47.18,10860000000.0,75910000000.0,0.24,83.80,,3.14,1.71,19170000.0,
,,cvx,,,,,,22.04,15.17,1.45,1.42,9.63,9.53,3.55,222380000000.0,80.79,222380000000.0,259529999999.99997,13.64,1.17,1.70,7.81,1.70,64319999999.99999,222380000000.0,,7.72,26.30,10.30,8570000000.0,4.51,34700000000.0,1.15,82.38,32560000000.000004,222380000000.0,0.05,67.48,,4.53,1.08,19150000.0,
,,d,,,,,,150.03,63.72,4.18,2.34,5.94,28.07,2.87,61170000000.0,20.13,61170000000.0,63.72,17.34,3.91,7.17,15.54,7.17,6490000000.0,61170000000.0,,1.20,88.00,28.60,0.47,0.47,42580000000.0,0.60,32.50,4660000000.0,61170000000.0,0.28,60.19,,5.65,2.33,15710000.0,
,,dal,,,,,,124.97,8.50,0.81,2.64,9.88,13.15,6.35,37050000000.0,68.16,37050000000.0,53540000000.0,7.63,0.56,1.17,6.54,1.17,11400000000.0,37050000000.0,,6.70,39.30,6.50,2020000000.0,3.11,17440000000.0,0.34,21.55,7970000000.0,37050000000.0,49.63,0.00,,2.54,2.88,11820000.0,
,,dd,,,,,,41.73,54.19,0.57,1.16,1.09,12.19,5.04,48720000000.0,112.93,48720000000.0,65940000000.0,15.06,2.78,0.77,4.08,0.77,22270000000.0,48720000000.0,,1.21,1670000000.0,6.60,1670000000.0,2.24,17770000000.0,1.64,56.20,4730000000.0,48720000000.0,0.08,72.22,,1.89,0.82,5640000.0,
,,dds,,,,,,35.71,8.89,0.22,0.82,2.59,3.81,4.10,1430000000.0,241.75,1430000000.0,1990000000.0,11.76,0.94,0.31,4.25,0.31,2210000000.0,1430000000.0,,6.25,2.40,0.40,139800000.0,5.43,620300000.0,1.78,67.48,360250000.0,1430000000.0,17.96,112.16,,16.87,76.00,8289999.999999999,
